stimulus_number,text
125,José salió temprano porque se fue al trabajo.
126,Miguel se cortó el pelo porque estaba muy largo.
127,Yo fui a la playa todo el verano.
128,Yo me levanto temprano todos los días de la semana.
129,Ella sale a bailar cada fin de semana.
130,Le llamaba naco todo el tiempo.
131,Le llamaba estúpido todo el tiempo.
132,Le llamaba chicano porque era mexicano.
133,Le llamaba nativo porque era mexicano.
134,Mi mamá compró nopales para la fiesta.
135,Mi mamá compró fruta para la fiesta.
136,He tenido antojo de champurrado desde la mañana.
137,He tenido antojo de café desde la mañana.
138,Mi abuela me hizo atole para el desayuno.
139,Mi abuela me hizo panqueques para el desayuno.
140,Nos va a servir pozole para la cena mañana.
141,Nos va a servir sopa para la cena mañana.
142,What guy is Ashley dancing with?
143,What class is Charlotte getting tired of?
144,What book is Dylan referring to?
145,Emily doesn't know what friend Frank is working with.
146,Jessica doesn't know what plane Lance is jumping out of.
147,Mason doesn't know what country Nancy is traveling to.
148,United is the company Ruby is flying with.
149,That Lamborghini is the car Tiffany is getting out of.
150,Warrenville is the town Vern is moving to.
151,With what guy is Ashley dancing?
152,Of what class is Charlotte getting tired?
153,To what book is Dylan referring?
154,Emily doesn't know with what friend Frank is working.
155,Jessica doesn't know of what plane Lance is jumping out.
156,Mason doesn't know to what country Nancy is traveling.
157,United is the company with which Ruby is flying.
158,That Lamborghini is the car of which Tiffany is getting out.
159,Warrenville is the town to which Vern is moving.
160,I went to the party with my friend.
161,The woman opened the door with her keys.
162,Peter went out to eat for his birthday.
163,Peter arrived late because of traffic.
164,Joey left early because he went to work.
165,Michael cut his hair because it was too long.
166,I went to the beach all summer long.
167,I get up early every day of the week.
168,She goes out dancing every weekend.
169,He was called boneheaded all the time.
170,He was called stupid all the time.
171,He was called snooty because he was from the US.
172,He was called native because he was from the US.
173,My mom bought crackers for the party.
174,My mom bought fruit for the party.
175,I have been craving seltzer since this morning.
176,I have been craving coffee since this morning.
177,My grandma made me biscuits for breakfast.
178,My grandma made me pancakes for breakfast.
179,He is going to serve us clam chowder for dinner tomorrow.
180,He is going to serve us soup for dinner tomorrow.
